Year,Name,Position,College,Rating
2021,Shane Thrift,CB,Delaware Fightin' Blue Hens,NA
2021,Noah Williams,OT,Delaware Fightin' Blue Hens,NA
2022,Thomas Chernasky,TE,Delaware Fightin' Blue Hens,NA
2022,Isaiah Cherry,ATH,Delaware Fightin' Blue Hens,NA
2022,Brett Kwoka,DL,Delaware Fightin' Blue Hens,NA
2023,Daniel Lipovski,QB,Delaware Fightin' Blue Hens,NA
2011,Rodney Gunter,SDE,Delaware State Hornets,NA
2012,Nate Ortiz,TE,Delaware State Hornets,0.8100
2014,Lamont Bradford,OG,Delaware State Hornets,0.8008
2015,Kobie Lain,ATH,Delaware State Hornets,NA
2015,Kesselly Tyler,RB,Delaware State Hornets,0.7500
2016,Brian Cavicante,ILB,Delaware State Hornets,NA
2016,Fatu Sua-Godinet,WR,Delaware State Hornets,NA
2016,Brock Nichols,S,Delaware State Hornets,NA
2017,Angelo Gonzalez,WR,Delaware State Hornets,0.8167
2019,Kevin Felder,RB,Delaware State Hornets,NA
2020,Codie Hornsby,IOL,Delaware State Hornets,NA
2020,Sy'Veon Wilkerson,RB,Delaware State Hornets,0.8000
2021,Kyndal Royal,CB,Delaware State Hornets,NA
2021,Caleb Young,DT,Delaware State Hornets,NA
2022,Avari Marshall,WR,Delaware State Hornets,NA
2023,Ebubedike Nnabugwu,IOL,Delaware State Hornets,NA
2009,Rashad Stewart,S,Drake Bulldogs,NA
2012,Ty Betka,WR,Drake Bulldogs,NA
2015,Zac Rujawitz,ILB,Drake Bulldogs,NA
2016,Jacob Bacon,OT,Drake Bulldogs,0.7533
2017,Armando Fitz,ILB,Drake Bulldogs,NA
2018,Hunter Wendling,PRO,Drake Bulldogs,0.7097
2020,Riley Theobald,ILB,Drake Bulldogs,NA
2021,Dante DeNardo,ATH,Drake Bulldogs,NA
2021,Austin Flax,WR,Drake Bulldogs,NA
2021,Nasir Reynolds,APB,Drake Bulldogs,NA
2021,Holden Hughes,ATH,Drake Bulldogs,NA
2021,Tevai Neher,OC,Drake Bulldogs,NA
2023,Isaac Saffold,DL,Drake Bulldogs,NA
2004,Chancellor Young,WR,Duke Blue Devils,0.8556
2004,Izzy Bauta,OG,Duke Blue Devils,0.8333
2004,Fred Roland,OT,Duke Blue Devils,0.8111
2004,Jabari Marshall,CB,Duke Blue Devils,0.8111
2004,Adrian Aye-Darko,CB,Duke Blue Devils,0.7889
2004,Jomar Wright,WR,Duke Blue Devils,0.7889
2004,Alfred Williams,ILB,Duke Blue Devils,0.7889
2004,Ronnie Drummer,APB,Duke Blue Devils,0.7889
2004,Patrick Bailey,OLB,Duke Blue Devils,0.7889
2004,Tim Ball,RB,Duke Blue Devils,0.7889
2004,Justin Boyle,RB,Duke Blue Devils,0.7889
2004,Daniel Charbonnet,CB,Duke Blue Devils,0.7889
2004,Chris Davis,S,Duke Blue Devils,0.7667
2004,Andreas Platt,S,Duke Blue Devils,0.7444
